gene,rho
MYCBPAP,-0.132733782475391
MMD,-0.23385412228664
C17orf67,-0.0283162768829416
MRPS23,0.163139839888008
TEX14,0.122746143812475
RNFT1,-0.406331100928886
FTSJ3,0.128465985342223
KPNA2,-0.0360876763531423
FDXR,-0.0923410335950161
SUMO2,0.144326013395163
LLGL2,0.00352063794076887
UNC13D,-0.22675851337786
TMC6,0.191799892360531
SYNGR2,-0.104604275258346
CANT1,-0.232325555909226
CBX4,-0.247141784680636
CEP131,0.143017038322626
TEPSIN,0.200467401722328
FAAP100,-0.136447827711427
ARL16,0.0520625883282296
ANAPC11,0.0872632749209526
CENPX,-0.0944988497816643
OGFOD3,0.0545290019111776
B3GNTL1,-0.374950606104538
MYL12A,0.0379736060658412
SEH1L,-0.289014555544386
IMPACT,-0.106281006883614
TAF4B,-0.334390032083545
DSC2,-0.235129636284657
INO80C,-0.183791024007212
CELF4,-0.117212843378352
HAUS1,0.037029391335339
SMAD7,-0.176771198395545
CFAP53,0.160222905245353
DCC,0.24180058730813
DSEL,0.0573188944706832
DOK6,-0.0272865295271292
CD226,-0.127132090317968
DIPK1C,-0.0480899744917943
TPGS1,0.139919205792596
POLRMT,0.00565886253792035
WDR18,0.198048458113895
POLR2E,0.0900067981746855
FAM174C,-0.142241749375033
GAMT,0.073331993481395
TIMM13,0.0459379675979675
APBA3,0.0955112808377855
